id,age,region,industry,company_size,acquisition_channel,visits_30d,emails_opened_30d,avg_session_min,support_tickets_90d,last_purchase_days,orders_12m,total_spend_12m,converted,cluster
322,23.0,South,Manufacturing,51-200,partner,15,4,7.94,2,125,4,785.66,0,2
323,49.0,Northeast,SaaS,51-200,web,8,1,7.08,3,89,2,822.13,0,1
324,65.0,West,Manufacturing,1-10,ads,5,4,5.53,1,49,2,495.53,1,1
325,68.0,Midwest,Manufacturing,11-50,events,6,3,9.38,1,26,3,772.39,0,1
326,29.0,West,SaaS,51-200,referral,10,2,8.12,1,41,2,1193.18,0,2
327,30.0,Midwest,SaaS,1-10,web,8,1,6.5,1,14,0,844.06,0,2
328,19.0,South,Education,201-1000,ads,11,7,6.32,0,6,4,998.7,1,2
329,25.0,Midwest,SaaS,201-1000,referral,2,6,6.71,1,29,3,635.67,1,2
330,46.0,Northeast,Finance,1000+,events,8,4,3.14,1,72,2,431.73,0,1
331,46.0,West,SaaS,1-10,events,5,1,4.69,5,78,5,881.03,0,1
332,37.0,South,Education,1000+,partner,8,1,7.52,0,202,5,717.7,0,0
333,34.0,South,,1-10,partner,6,2,,2,13,3,686.03,0,1
334,61.0,West,SaaS,51-200,partner,6,4,4.86,2,23,1,746.61,0,1
335,41.0,West,SaaS,201-1000,partner,8,3,5.64,2,18,1,895.93,0,2
336,60.0,West,E-commerce,1-10,ads,7,3,12.89,1,127,2,1133.23,0,0
337,68.0,Northeast,,1-10,events,7,0,7.98,2,3,1,123.11,0,1
338,34.0,South,,1-10,referral,11,2,8.91,2,144,4,713.56,0,0
339,28.0,West,Education,51-200,web,9,5,4.73,0,48,3,1180.79,1,2
340,67.0,Midwest,Finance,201-1000,partner,5,4,7.3,1,126,4,779.26,0,0
341,51.0,Northeast,E-commerce,1-10,partner,11,11,2.63,0,33,2,777.74,1,2
342,33.0,West,Manufacturing,1-10,events,8,7,5.77,3,56,1,677.95,0,2
343,50.0,South,Finance,51-200,referral,11,6,7.61,0,18,4,929.56,1,2
344,44.0,South,Education,11-50,ads,6,4,3.38,2,40,4,1035.84,0,2
345,65.0,West,E-commerce,201-1000,ads,12,4,7.36,0,77,5,710.0,0,2
346,31.0,South,Education,1000+,referral,4,3,7.55,1,85,3,444.85,0,1
347,69.0,Midwest,Finance,201-1000,partner,7,4,5.17,1,29,4,741.53,0,1
348,66.0,Midwest,Manufacturing,201-1000,ads,3,6,4.66,3,56,3,880.13,0,1
349,27.0,Midwest,Healthcare,51-200,partner,8,0,4.93,1,9,1,893.18,1,2
350,26.0,Northeast,Education,201-1000,ads,4,2,,0,339,2,860.16,0,0
351,45.0,West,Healthcare,1-10,referral,5,3,5.8,2,33,0,694.88,0,1
352,20.0,West,SaaS,1-10,events,5,4,7.62,0,87,0,792.87,0,2
353,33.0,Midwest,SaaS,51-200,ads,8,4,5.32,1,12,1,407.3,0,1
354,40.0,Midwest,Manufacturing,1-10,partner,9,3,,2,6,5,692.54,0,2
355,68.0,West,Education,201-1000,ads,7,4,10.01,3,5,1,354.17,0,1
356,69.0,Northeast,Healthcare,51-200,referral,4,5,7.02,2,61,2,491.03,1,1
357,25.0,South,,1000+,events,6,3,5.74,0,21,3,486.63,0,1
358,64.0,South,SaaS,11-50,referral,2,5,5.33,0,24,2,841.76,1,1
359,22.0,South,SaaS,51-200,events,12,5,7.2,1,25,2,521.55,0,2
360,56.0,Northeast,Finance,201-1000,ads,4,0,7.58,1,103,2,288.74,0,1
361,61.0,South,Finance,11-50,web,4,3,6.06,2,3,2,988.28,0,1
362,64.0,Midwest,Manufacturing,51-200,web,9,0,5.64,2,15,4,231.92,0,1
363,29.0,South,Education,51-200,events,7,5,7.28,1,31,5,896.35,0,2
364,64.0,Northeast,E-commerce,1000+,ads,5,6,6.65,1,141,3,728.94,0,0
365,24.0,South,Education,201-1000,referral,6,7,5.24,4,23,1,539.23,0,2
366,,South,,1-10,events,13,3,6.75,3,15,1,866.24,1,2
367,42.0,Northeast,Education,51-200,partner,9,5,5.17,0,15,2,778.4,0,2
368,34.0,Northeast,E-commerce,51-200,partner,5,2,4.85,4,16,2,779.29,1,2
369,,Northeast,SaaS,1-10,partner,11,2,6.49,1,230,4,405.69,0,0
370,58.0,Midwest,SaaS,11-50,web,10,4,5.24,0,22,2,610.82,0,1
371,35.0,Northeast,Manufacturing,11-50,web,8,2,4.89,1,27,5,646.51,1,2
372,,West,SaaS,1-10,partner,13,6,8.8,1,5,3,973.99,1,2
373,39.0,Midwest,Manufacturing,51-200,web,2,2,,3,135,2,338.3,0,1
374,37.0,West,Education,1-10,partner,6,4,10.56,3,137,3,468.58,0,0
375,64.0,West,SaaS,51-200,web,11,3,7.88,1,14,0,397.88,0,1
376,22.0,Northeast,Manufacturing,1-10,referral,14,6,4.69,0,100,1,987.81,0,2
377,56.0,South,SaaS,201-1000,partner,8,2,9.05,0,297,0,198.33,0,0
378,56.0,West,SaaS,1-10,partner,4,1,4.92,1,4,0,891.43,0,1
379,37.0,South,Finance,201-1000,partner,6,3,10.84,1,114,1,682.14,0,0
380,,Midwest,E-commerce,1-10,partner,11,1,7.0,1,6,4,911.78,1,2
381,18.0,Midwest,E-commerce,51-200,web,8,3,7.69,4,21,1,450.35,1,2
382,66.0,Northeast,E-commerce,11-50,events,7,5,6.57,0,33,6,645.09,0,1
383,67.0,South,Finance,11-50,referral,6,0,,2,190,2,438.87,0,0
384,30.0,West,SaaS,51-200,web,7,3,6.0,0,94,4,477.59,0,0
385,19.0,West,E-commerce,201-1000,events,5,3,4.46,2,69,3,259.68,0,1
386,24.0,Northeast,Finance,1000+,web,12,5,7.25,3,32,4,901.1,0,2
387,21.0,South,Healthcare,11-50,ads,6,5,8.75,1,14,2,518.73,0,2
388,61.0,Midwest,Education,1-10,ads,9,0,3.88,1,67,2,196.72,0,1
389,64.0,West,E-commerce,201-1000,partner,7,4,9.89,0,7,1,628.57,0,1
390,25.0,Northeast,Finance,51-200,web,10,2,7.82,0,92,0,612.74,0,0
391,56.0,West,Education,11-50,web,8,2,5.54,1,60,1,991.17,0,1
392,27.0,West,Healthcare,201-1000,ads,11,8,5.5,0,28,2,453.47,0,2
393,37.0,Northeast,E-commerce,51-200,ads,5,1,10.6,1,19,3,1214.64,0,2
394,49.0,Northeast,Finance,51-200,partner,7,1,8.57,0,347,3,216.17,0,0
395,55.0,West,Finance,11-50,partner,11,2,9.01,3,3,1,201.84,0,1
396,63.0,Northeast,SaaS,11-50,web,6,4,5.95,1,101,1,893.3,1,1
397,20.0,South,Finance,1-10,events,13,5,7.72,3,8,4,333.19,1,2
398,28.0,West,SaaS,201-1000,ads,7,3,7.27,0,20,2,1112.35,1,2
399,32.0,South,Finance,1-10,events,10,3,6.12,2,41,2,428.27,0,2
400,34.0,Midwest,,201-1000,events,10,3,6.74,1,154,2,518.64,0,0
401,69.0,Midwest,Finance,201-1000,web,10,6,8.94,1,16,2,552.02,1,1
402,58.0,Northeast,Education,201-1000,ads,10,3,10.02,0,19,0,982.33,1,2
403,34.0,West,E-commerce,1-10,ads,10,2,5.95,1,124,1,1046.13,0,2
404,68.0,Midwest,Manufacturing,11-50,ads,11,5,3.61,1,193,0,400.06,0,0
405,43.0,Northeast,Education,51-200,referral,6,1,10.12,2,139,2,548.89,0,0
406,44.0,Midwest,Manufacturing,51-200,ads,14,4,10.14,1,23,0,840.28,1,2
407,40.0,West,Education,1000+,ads,8,3,7.38,1,12,2,595.7,0,2
408,25.0,Northeast,Finance,11-50,web,11,4,10.44,1,15,5,1057.66,0,2
409,66.0,West,Finance,201-1000,referral,8,5,7.22,0,71,1,743.48,0,1
410,18.0,South,Manufacturing,1-10,web,15,3,4.5,1,42,2,612.47,0,2
411,27.0,West,Manufacturing,11-50,events,9,2,3.61,3,88,3,0.0,0,1
412,29.0,West,Healthcare,1-10,partner,11,6,3.59,2,16,2,353.81,1,2
413,32.0,West,SaaS,201-1000,referral,5,4,6.51,1,128,2,574.99,1,0
414,24.0,West,SaaS,1-10,referral,9,1,5.47,1,197,0,708.19,0,0
415,,Northeast,E-commerce,11-50,web,7,3,5.23,4,77,3,881.81,0,2
416,53.0,West,SaaS,201-1000,referral,10,2,6.26,1,50,1,587.0,0,1
417,68.0,South,E-commerce,51-200,events,10,4,8.39,1,96,1,291.13,0,1
418,,South,SaaS,1-10,web,9,4,5.3,2,8,4,340.04,0,1
419,33.0,West,Manufacturing,1-10,web,9,4,4.93,1,12,3,1190.89,0,2
420,44.0,West,SaaS,51-200,events,7,2,5.44,1,11,2,403.07,0,1
421,66.0,South,Finance,11-50,ads,8,3,8.53,3,4,7,628.25,0,1
422,54.0,South,Healthcare,1-10,web,7,2,6.35,0,250,1,214.72,0,0
423,57.0,Midwest,E-commerce,51-200,ads,8,4,7.12,1,30,4,306.64,1,1
424,48.0,Midwest,Education,11-50,partner,7,4,9.92,0,80,0,580.63,0,0
425,39.0,Midwest,Manufacturing,51-200,referral,8,5,12.76,2,176,3,807.51,0,0
426,28.0,Midwest,Education,11-50,referral,6,4,7.91,3,58,4,416.07,0,2
427,62.0,Northeast,Manufacturing,1-10,partner,10,2,7.69,3,34,0,346.66,1,1
428,59.0,Northeast,Finance,1-10,ads,12,3,3.89,2,42,3,447.65,0,1
429,19.0,West,Education,11-50,events,4,1,7.31,2,73,3,527.61,0,1
430,55.0,Midwest,SaaS,1-10,referral,10,3,,0,53,3,479.89,0,1
431,22.0,West,Manufacturing,11-50,referral,10,2,8.46,0,9,0,497.37,0,2
432,56.0,South,Education,1000+,web,8,1,5.64,1,126,1,684.78,0,0
433,60.0,Northeast,E-commerce,201-1000,partner,5,4,6.94,1,62,4,414.1,0,1
434,24.0,Northeast,Healthcare,11-50,ads,7,3,7.83,0,56,4,1002.84,1,2
435,40.0,Northeast,Finance,51-200,referral,6,3,,2,31,3,773.99,0,2
436,24.0,West,,51-200,partner,10,0,9.94,0,52,2,442.05,1,0
437,47.0,Northeast,Education,201-1000,referral,12,2,9.29,0,17,2,658.53,0,2
438,66.0,South,E-commerce,11-50,web,17,3,8.1,1,55,1,744.18,0,2
439,22.0,West,SaaS,11-50,ads,13,2,5.55,2,184,2,1101.23,0,0
440,38.0,West,E-commerce,11-50,ads,7,0,8.1,1,14,2,342.23,0,1
441,68.0,Midwest,Manufacturing,1-10,ads,9,3,4.8,0,11,3,605.54,0,1
442,33.0,Northeast,E-commerce,11-50,ads,11,2,6.05,1,81,0,715.16,0,2
443,24.0,Northeast,Finance,201-1000,events,12,4,10.41,1,13,1,1185.79,1,2
444,43.0,Northeast,Education,1000+,referral,9,4,7.68,1,123,1,199.23,0,0
445,44.0,Northeast,SaaS,1-10,referral,14,1,7.0,3,28,3,761.9,1,2
446,52.0,South,Education,51-200,ads,9,0,7.28,2,28,1,991.15,1,2
447,34.0,West,E-commerce,11-50,web,7,1,6.29,2,131,1,993.02,1,0
448,67.0,South,Education,51-200,web,7,3,1.76,2,10,2,804.96,0,1
449,45.0,South,E-commerce,51-200,ads,8,4,3.72,2,29,2,859.64,0,2
450,32.0,Northeast,SaaS,1-10,ads,13,3,7.86,2,52,2,880.45,0,2
451,67.0,West,Education,201-1000,partner,5,2,4.47,0,133,4,658.81,0,0
452,66.0,South,Education,1000+,web,9,2,6.26,2,76,4,455.06,0,1
453,43.0,West,Manufacturing,51-200,events,7,2,3.8,1,5,1,375.98,0,1
454,19.0,West,Education,51-200,ads,9,8,4.92,1,4,2,750.75,1,2
455,49.0,Midwest,Healthcare,51-200,web,5,3,6.49,1,34,0,893.58,0,1
456,,Northeast,E-commerce,11-50,referral,10,5,8.53,2,81,2,648.43,0,2
457,25.0,Midwest,E-commerce,1-10,referral,4,2,8.97,1,80,1,437.21,0,1
458,50.0,Midwest,Finance,51-200,ads,6,1,4.88,2,2,0,604.6,0,1
459,61.0,West,Healthcare,1-10,ads,10,4,7.17,1,52,2,1094.71,0,2
460,23.0,Midwest,Healthcare,201-1000,ads,13,4,3.36,0,94,1,575.93,0,2
461,55.0,West,,11-50,ads,4,5,6.62,2,11,0,531.26,0,1
462,25.0,South,Healthcare,11-50,events,9,4,8.6,1,59,4,1103.12,0,2
463,56.0,Northeast,E-commerce,11-50,events,3,1,6.35,0,5,0,621.9,0,1
464,39.0,Midwest,SaaS,1000+,ads,5,4,9.39,2,22,3,452.43,1,1
465,18.0,South,SaaS,1-10,events,8,5,8.34,5,20,1,452.87,0,2
466,68.0,South,Finance,1-10,events,7,1,7.03,2,90,2,419.07,0,1
467,26.0,Midwest,Healthcare,1-10,events,7,5,5.95,0,41,3,497.87,0,2
468,48.0,Midwest,SaaS,51-200,referral,10,2,5.32,0,80,4,222.86,1,1
469,27.0,South,Finance,1000+,ads,10,0,3.29,2,24,5,302.93,0,1
470,66.0,Northeast,SaaS,11-50,referral,5,5,3.65,2,188,2,136.84,0,0
471,56.0,West,SaaS,1000+,web,6,2,8.69,1,70,4,634.06,0,1
472,59.0,Northeast,SaaS,11-50,web,7,3,9.83,0,24,2,995.1,0,2
473,40.0,Northeast,Healthcare,51-200,partner,4,2,4.12,2,93,2,1077.12,0,2
474,42.0,South,Manufacturing,1-10,ads,6,4,6.65,1,13,1,605.65,0,1
475,50.0,South,E-commerce,51-200,events,13,4,3.04,3,18,2,718.49,0,2
476,58.0,South,E-commerce,51-200,partner,9,6,4.35,1,5,1,938.52,0,2
477,62.0,Midwest,E-commerce,51-200,web,6,4,7.07,1,38,1,456.13,1,1
478,18.0,West,Healthcare,11-50,events,4,2,5.36,1,191,1,62.52,0,0
479,52.0,South,Education,201-1000,ads,8,5,2.28,0,23,2,529.11,0,1
480,23.0,South,E-commerce,1000+,ads,5,5,10.28,3,47,1,834.51,0,2
481,32.0,Midwest,Finance,51-200,events,7,1,6.39,1,86,1,266.89,0,1
482,61.0,Northeast,Manufacturing,51-200,partner,6,3,4.07,1,39,1,233.82,0,1
483,31.0,South,Manufacturing,201-1000,web,4,5,6.78,1,37,3,452.63,1,1
484,59.0,Midwest,Finance,11-50,web,9,5,6.32,1,28,2,382.32,0,1
485,42.0,South,Education,201-1000,ads,7,4,7.43,2,33,1,654.32,0,2
486,30.0,Northeast,Manufacturing,11-50,web,7,1,5.75,1,2,3,1316.08,1,2
487,35.0,West,Education,201-1000,web,6,4,7.19,2,60,2,643.65,0,2
488,45.0,South,E-commerce,1-10,partner,12,2,8.58,2,51,4,1002.56,0,2
489,57.0,West,SaaS,11-50,web,7,6,3.6,1,98,2,233.53,0,1
490,49.0,South,SaaS,51-200,web,12,7,4.97,0,15,0,1119.81,0,2
491,66.0,Northeast,Manufacturing,51-200,ads,6,6,8.35,0,1,4,464.5,1,1
492,63.0,West,Finance,201-1000,web,8,3,5.29,2,12,0,597.63,0,1
493,57.0,South,E-commerce,1000+,referral,4,4,6.32,0,47,6,978.12,0,1
494,49.0,West,,1-10,events,8,4,5.47,2,9,4,575.94,0,1
495,33.0,Midwest,E-commerce,11-50,partner,3,4,5.6,4,20,3,217.27,0,1
496,39.0,South,Education,11-50,events,5,1,5.42,0,51,2,246.78,0,1
497,24.0,West,Finance,51-200,referral,8,0,3.73,1,14,0,519.12,0,1
498,37.0,South,Manufacturing,51-200,partner,2,7,7.51,0,13,1,608.15,1,1
499,66.0,Midwest,E-commerce,201-1000,referral,12,3,8.84,1,6,4,473.53,1,1
500,40.0,South,Healthcare,201-1000,referral,3,5,6.11,1,24,5,371.03,0,1
501,23.0,South,SaaS,1-10,web,6,4,8.59,2,23,1,1031.84,1,2
502,51.0,West,Manufacturing,51-200,events,7,2,,1,85,1,902.44,0,1
503,68.0,Midwest,Finance,51-200,web,9,3,5.29,3,69,1,547.31,0,1
504,63.0,Midwest,,51-200,referral,5,0,7.4,0,14,2,237.12,0,1
505,32.0,West,Healthcare,1-10,ads,8,5,7.44,0,46,5,1015.31,0,2
506,41.0,South,E-commerce,11-50,ads,8,5,6.25,1,20,1,663.54,1,2
507,45.0,South,Manufacturing,11-50,referral,10,3,7.99,2,17,3,743.28,1,2
508,30.0,Midwest,Healthcare,1-10,referral,10,2,3.67,0,55,0,832.71,0,2
509,31.0,Northeast,Education,201-1000,referral,11,5,5.83,1,11,5,586.93,0,2
510,30.0,South,SaaS,11-50,events,11,3,8.62,1,32,0,565.02,0,2
511,69.0,Northeast,E-commerce,51-200,ads,7,5,8.62,1,155,4,602.0,0,0
512,56.0,Northeast,Education,51-200,events,6,3,8.34,1,42,2,233.1,0,1
513,61.0,South,SaaS,201-1000,events,6,3,8.75,2,53,7,261.32,0,1
514,60.0,South,SaaS,1-10,partner,6,4,5.68,2,32,1,873.17,0,1
515,67.0,West,Education,1-10,events,8,1,2.75,3,47,0,634.96,0,1
516,23.0,Midwest,E-commerce,11-50,web,8,2,5.93,1,79,2,267.12,0,1
517,63.0,Northeast,E-commerce,11-50,events,11,7,7.9,0,103,1,518.83,0,0
518,21.0,West,Finance,11-50,ads,9,3,8.26,1,5,2,427.09,0,2
519,42.0,Northeast,E-commerce,201-1000,partner,12,4,5.34,0,11,2,688.53,1,2
520,48.0,Northeast,SaaS,11-50,referral,5,1,4.37,1,15,4,295.3,1,1
521,36.0,Midwest,SaaS,1-10,web,11,1,4.59,2,4,1,895.42,1,2
522,25.0,South,SaaS,11-50,events,9,2,5.3,1,78,1,655.4,0,2
523,27.0,West,SaaS,201-1000,ads,9,5,2.33,2,38,3,853.61,0,2
524,60.0,West,Education,201-1000,web,6,2,5.34,0,56,3,528.23,0,1
525,34.0,South,E-commerce,201-1000,partner,9,1,6.61,2,46,0,219.0,0,1
526,34.0,Northeast,SaaS,51-200,web,8,3,6.28,0,264,1,593.51,0,0
527,66.0,Midwest,SaaS,201-1000,ads,13,5,5.77,1,71,2,851.9,0,2
528,25.0,South,Healthcare,51-200,partner,11,3,4.98,3,41,4,818.81,1,2
529,65.0,Northeast,Manufacturing,11-50,partner,5,3,5.24,0,171,4,648.71,0,0
530,65.0,Midwest,Healthcare,51-200,ads,5,4,5.28,2,35,2,897.03,1,1
531,49.0,Midwest,SaaS,201-1000,referral,4,3,8.05,1,93,0,959.09,0,0
532,26.0,Northeast,E-commerce,11-50,events,8,2,6.5,3,20,3,418.76,0,2
533,26.0,South,Healthcare,51-200,web,11,3,13.47,2,132,4,925.73,0,0
534,32.0,South,E-commerce,51-200,web,10,4,5.77,1,33,2,863.13,0,2
535,48.0,Northeast,Manufacturing,51-200,web,11,4,7.46,1,19,3,664.13,0,2
536,25.0,South,Education,1-10,events,8,4,5.82,0,97,1,539.44,0,0
537,41.0,West,Healthcare,51-200,ads,9,1,5.76,1,4,2,687.31,0,1
538,24.0,South,Manufacturing,201-1000,web,9,1,9.94,0,45,3,618.08,0,2
539,46.0,West,E-commerce,1-10,web,6,1,8.69,1,124,2,361.64,0,0
540,19.0,Midwest,SaaS,11-50,web,12,5,2.64,1,84,1,304.67,0,2
541,54.0,West,Manufacturing,1-10,events,3,3,4.25,3,28,0,529.45,0,1
542,20.0,Midwest,Manufacturing,1-10,ads,4,2,6.2,1,74,3,372.69,0,1
543,28.0,Midwest,E-commerce,1000+,web,10,3,5.36,0,154,3,827.38,0,0
544,27.0,Northeast,,51-200,referral,5,5,3.18,1,35,2,400.31,0,1
545,61.0,South,E-commerce,11-50,partner,7,6,6.75,1,27,1,704.83,1,1
546,20.0,Midwest,Finance,11-50,ads,18,3,2.37,2,8,2,461.51,1,2
547,40.0,Midwest,Education,1000+,events,11,1,6.78,1,10,2,148.47,0,1
548,48.0,South,Education,11-50,web,10,2,8.11,0,140,1,558.89,0,0
549,44.0,Midwest,Finance,201-1000,web,9,2,8.42,4,75,1,570.9,0,1
550,53.0,Midwest,Education,11-50,web,7,2,6.18,2,31,2,474.98,0,1
551,59.0,Northeast,Finance,1-10,referral,7,2,9.82,1,92,5,852.34,1,0
552,38.0,Midwest,Education,51-200,partner,5,3,7.23,1,27,4,0.0,0,1
553,61.0,Midwest,E-commerce,1-10,partner,7,2,8.36,1,1,4,716.58,0,1
554,34.0,Midwest,Healthcare,51-200,referral,8,2,4.88,4,138,4,539.73,0,0
555,69.0,Midwest,Healthcare,11-50,partner,7,2,9.85,3,40,1,174.86,0,1
556,44.0,West,Finance,201-1000,partner,8,4,6.49,2,40,0,661.53,1,2
557,56.0,West,SaaS,201-1000,web,7,5,9.97,0,80,2,170.92,0,1
558,63.0,South,E-commerce,201-1000,partner,6,2,,2,38,1,510.48,0,1
559,59.0,South,Manufacturing,1-10,ads,8,0,7.07,3,1,1,663.36,0,1
560,62.0,West,SaaS,201-1000,web,7,1,7.39,0,9,4,341.44,0,1
561,45.0,West,Finance,1000+,referral,8,1,6.1,1,32,1,849.82,0,1
562,20.0,South,Finance,11-50,partner,11,7,4.7,2,149,2,473.75,0,2
563,43.0,West,Healthcare,11-50,partner,7,6,7.81,2,54,1,299.14,0,1
564,27.0,West,SaaS,201-1000,referral,9,5,7.7,0,23,2,894.9,1,2
565,64.0,West,SaaS,1-10,partner,8,6,2.94,2,6,1,491.04,1,1
566,30.0,South,E-commerce,51-200,referral,8,10,6.32,0,64,3,1163.54,1,2
567,29.0,Northeast,SaaS,201-1000,ads,8,1,8.41,1,43,2,658.56,0,2
568,30.0,Northeast,SaaS,1-10,web,8,5,9.72,0,101,2,336.59,0,0
569,51.0,South,SaaS,51-200,events,9,2,8.1,1,31,1,771.42,0,2
570,47.0,South,E-commerce,51-200,events,14,8,3.16,2,104,3,1022.09,1,2
571,67.0,Midwest,Manufacturing,11-50,web,6,0,4.18,1,39,2,529.86,0,1
572,39.0,South,Finance,201-1000,ads,9,3,5.74,0,5,0,474.48,0,1
573,32.0,South,SaaS,1-10,partner,5,4,9.58,1,65,4,61.59,1,1
574,20.0,West,Finance,11-50,ads,12,6,5.16,2,70,3,491.12,1,2
575,18.0,Northeast,SaaS,201-1000,referral,7,3,8.83,2,76,1,917.38,0,2
576,37.0,Midwest,Healthcare,1-10,events,4,0,5.13,1,106,2,1067.39,0,0
577,66.0,West,SaaS,201-1000,referral,5,2,7.67,4,38,2,796.0,0,1
578,45.0,West,SaaS,1-10,referral,12,5,4.43,1,85,4,472.38,1,2
579,64.0,West,SaaS,51-200,referral,12,4,6.07,1,50,2,515.78,1,1
580,23.0,West,Healthcare,1-10,events,7,1,4.01,0,82,3,299.53,1,1
581,22.0,West,Healthcare,51-200,ads,12,4,9.67,1,12,3,543.53,0,2
582,61.0,Midwest,Healthcare,201-1000,partner,7,4,4.97,1,115,1,641.74,0,1
583,23.0,Midwest,Finance,201-1000,events,3,1,3.1,2,8,2,598.68,0,1
584,20.0,Midwest,Education,1000+,events,7,3,2.92,2,26,3,776.45,1,2
585,39.0,South,Education,51-200,events,5,2,6.31,1,3,3,1027.02,0,2
586,66.0,West,Finance,201-1000,events,8,6,5.49,0,47,2,536.25,0,1
587,53.0,Midwest,Finance,51-200,events,12,3,7.93,0,56,2,732.95,1,2
588,23.0,South,Healthcare,1000+,events,6,2,5.98,1,15,1,913.12,0,2
589,61.0,Midwest,E-commerce,51-200,partner,11,2,9.07,2,20,0,950.82,0,2
590,61.0,Northeast,Healthcare,201-1000,web,10,3,5.65,1,79,1,297.34,0,1
591,59.0,Northeast,SaaS,11-50,web,6,4,8.76,2,13,2,653.97,0,1
592,64.0,Northeast,Manufacturing,51-200,partner,6,6,4.4,2,168,5,717.12,0,0
593,30.0,West,Healthcare,201-1000,referral,9,1,3.19,1,90,5,598.65,1,2
594,68.0,Midwest,Education,11-50,events,12,3,4.69,2,22,2,767.06,0,1
595,34.0,West,Manufacturing,11-50,events,10,1,4.02,0,20,3,1341.68,1,2
596,59.0,South,Healthcare,1000+,partner,3,2,3.77,2,34,1,358.17,0,1
597,48.0,Northeast,Manufacturing,11-50,partner,9,2,7.41,0,33,2,624.09,1,1
598,58.0,Northeast,Healthcare,1-10,referral,8,2,5.92,1,10,2,324.16,0,1
599,50.0,West,SaaS,11-50,ads,8,1,6.81,0,5,3,615.65,0,1
600,51.0,Midwest,SaaS,11-50,events,13,2,,2,138,2,931.61,0,0
601,50.0,West,SaaS,51-200,events,5,1,2.79,1,17,4,572.46,0,1
602,58.0,Northeast,Manufacturing,1000+,referral,8,5,7.75,0,70,3,1092.63,1,2
603,56.0,South,Healthcare,1000+,events,6,2,3.85,0,41,3,565.6,0,1
604,24.0,West,E-commerce,51-200,ads,10,2,,2,76,0,721.01,0,2
605,60.0,Midwest,Healthcare,51-200,events,11,4,2.34,1,84,2,205.7,0,1
606,45.0,Midwest,E-commerce,11-50,ads,6,7,7.94,0,63,2,1343.53,1,2
607,34.0,West,Manufacturing,201-1000,partner,6,5,2.78,0,133,2,481.72,0,0
608,44.0,Midwest,,11-50,web,10,5,3.86,2,0,1,1238.37,0,2
609,68.0,Midwest,SaaS,1-10,referral,2,0,4.02,0,60,2,439.85,0,1
610,62.0,Midwest,Education,1000+,partner,10,5,6.22,2,12,3,1034.29,0,2
611,61.0,Midwest,Healthcare,201-1000,events,8,2,6.15,3,63,3,724.71,0,1
612,42.0,West,SaaS,11-50,web,7,2,8.29,0,25,4,1204.91,1,2
613,58.0,West,Manufacturing,51-200,web,8,2,6.27,1,51,0,739.7,1,1
614,38.0,Midwest,SaaS,51-200,partner,8,1,8.62,1,83,2,907.41,0,0
615,53.0,West,E-commerce,11-50,ads,10,4,7.33,3,28,2,287.44,0,1
616,,Northeast,SaaS,11-50,events,8,3,4.42,1,2,0,1083.93,0,2
617,30.0,Northeast,Healthcare,1-10,web,8,1,5.03,0,20,7,1047.13,1,2
618,31.0,South,Finance,51-200,referral,12,3,9.82,1,95,2,713.86,0,2
619,21.0,West,E-commerce,11-50,web,7,2,9.2,1,21,1,574.66,0,2
620,25.0,Northeast,SaaS,51-200,partner,16,3,8.31,1,187,0,913.67,0,0
621,40.0,Northeast,SaaS,11-50,events,9,5,8.6,2,124,2,371.16,0,0
622,42.0,South,Manufacturing,1000+,web,13,3,7.52,1,47,1,1151.67,0,2
623,26.0,West,Education,51-200,referral,8,4,7.24,2,118,3,920.61,1,2
624,39.0,Northeast,Manufacturing,201-1000,events,9,5,6.61,1,14,2,829.07,0,2
625,49.0,Midwest,Finance,1-10,web,5,3,10.24,3,148,2,190.18,0,0
626,30.0,South,Finance,51-200,events,10,3,5.48,2,26,0,823.64,1,2
627,35.0,Midwest,Education,201-1000,events,8,4,7.03,1,112,2,419.82,0,0
628,37.0,Northeast,Finance,11-50,web,6,4,2.74,0,65,2,151.24,0,1
629,44.0,Northeast,,1-10,web,4,4,3.35,0,3,3,815.57,0,1
630,37.0,Midwest,E-commerce,11-50,partner,9,2,10.49,2,106,2,898.58,0,0
631,56.0,South,Healthcare,11-50,web,13,0,7.86,0,99,2,369.74,0,0
632,35.0,West,SaaS,11-50,ads,7,2,6.03,1,43,4,882.47,1,2
633,40.0,South,E-commerce,11-50,web,5,2,6.67,1,54,2,712.93,0,1
634,37.0,South,Education,11-50,ads,8,1,3.51,1,1,1,357.36,0,1
635,27.0,West,Manufacturing,51-200,referral,11,0,5.56,1,71,1,332.08,0,1
636,53.0,Midwest,SaaS,1-10,partner,7,4,3.29,2,76,3,942.58,0,2
637,30.0,Midwest,SaaS,11-50,events,9,2,5.85,0,14,0,537.26,0,1
638,33.0,West,SaaS,51-200,ads,7,3,8.0,1,36,2,882.48,0,2
639,59.0,Midwest,Education,1-10,partner,5,5,7.5,2,7,2,662.72,0,1
640,67.0,South,E-commerce,11-50,partner,4,3,10.0,1,32,4,791.46,0,1
641,52.0,South,E-commerce,11-50,events,11,8,7.15,1,152,1,894.02,0,2
642,65.0,Northeast,SaaS,1-10,referral,2,5,1.05,0,73,3,522.43,0,1
643,62.0,South,Manufacturing,51-200,referral,7,3,10.79,0,31,2,827.94,0,1
644,43.0,Northeast,Healthcare,1-10,referral,9,4,4.65,1,317,2,91.11,0,0
